Species;Date;Fish_ID;Mes_nr;Treatment;Weight;SMR;MMR;AS;Comment;Chambersize;Temperature;Sex
Zebrafish;23-02-2023;L22;1;L;0.0026;0.001305699;NA;NA;;0.002182;27.82571942;NA
Zebrafish;23-02-2023;L23;1;L;0.0025;0.001324234;NA;NA;;0.002182;27.82571942;NA
Zebrafish;23-02-2023;L24;1;L;0.0018;0.000957483;NA;NA;;0.002182;27.82571942;NA
Zebrafish;23-02-2023;L25;1;L;0.0076;0.004567456;NA;NA;;0.002182;27.82571942;NA
Zebrafish;23-02-2023;L26;1;L;6.00E-04;0.000275605;NA;NA;;0.002182;27.82571942;NA
Zebrafish;23-02-2023;L27;1;L;0.0017;0.000682179;NA;NA;;0.002182;27.82571942;NA
Zebrafish;23-02-2023;L28;1;L;0.0018;0.000788159;NA;NA;;0.002182;27.82571942;NA
Zebrafish;23-02-2023;L29;1;L;0.0015;0.00050738;NA;NA;;0.002182;27.82571942;NA
Zebrafish;23-02-2023;L30;1;L;0.0089;0.00376696;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M16;1;M;0.0016;0.000961547;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M17;1;M;0.0016;0.000487645;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M18;1;M;0.0023;0.000746831;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M19;1;M;9.00E-04;0.00025198;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M20;1;M;0.004;0.00257933;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M21;1;M;0.0029;0.001551129;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M22;1;M;0.0018;7.71E-05;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M23;1;M;0.0052;0.002140199;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M24;1;M;0.0049;0.002900666;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M25;1;M;0.0039;0.002150217;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M26;1;M;0.0041;0.00074639;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M27;1;M;0.0026;0.001127562;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M28;1;M;0.0063;0.003285922;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M29;1;M;0.0033;0.000954565;NA;NA;;0.002182;27.82571942;NA
Zebrafish;24-02-2023;M30;1;M;0.002;0.000941315;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H16;1;H;7.00E-04;0.000305082;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H17;1;H;8.00E-04;0.000310078;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H18;1;H;0.0023;0.001415975;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H19;1;H;0.0019;0.000442935;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H20;1;H;0.0027;0.000367001;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H21;1;H;0.0047;0.003048514;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H22;1;H;0.0027;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H23;1;H;0.001;6.97E-05;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H24;1;H;0.001;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H25;1;H;0.0066;0.003396415;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H26;1;H;0.001;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H27;1;H;6.00E-04;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H28;1;H;8.00E-04;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H29;1;H;0.0016;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;27-02-2023;H30;1;H;8.00E-04;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L1;2;L;0.005;0.003149762;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L2;2;L;0.0052;0.002284724;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L3;2;L;0.0054;0.002642205;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L4;2;L;0.0066;0.001631028;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L5;2;L;0.0093;0.004382281;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L7;2;L;0.0039;0.002465863;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L8;2;L;0.0029;0.001250765;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L9;2;L;0.0068;0.003061319;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L10;2;L;0.0113;0.006317259;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L11;2;L;0.0059;0.002357417;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L12;2;L;0.0043;0.000178712;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L13;2;L;0.0028;0.001108753;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L14;2;L;0.0056;0.003332901;NA;NA;;0.002182;27.82571942;NA
Zebrafish;28-02-2023;L15;2;L;0.0098;0.004621982;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M1;2;M;0.0013;0.00072433;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M2;2;M;0.0065;0.002184333;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M3;2;M;0.0083;0.003780829;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M4;2;M;0.0022;0.000687434;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M5;2;M;0.0091;0.002699297;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M6;2;M;0.0027;0.000956282;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M7;2;M;0.0066;0.002552633;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M8;2;M;0.0022;0.000783829;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M9;2;M;0.0021;0.000567751;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M10;2;M;0.0063;0.003103522;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M11;2;M;0.0044;0.001742515;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M12;2;M;0.0045;0.001821805;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M13;2;M;0.0058;0.002436822;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M14;2;M;0.0021;0.000591541;NA;NA;;0.002182;27.82571942;NA
Zebrafish;01-03-2023;M15;2;M;0.0056;0.001826598;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H1;2;H;0.0027;0.002111021;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H2;2;H;0.0064;0.002785071;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H3;2;H;0.0054;0.001921757;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H4;2;H;0.008;0.0048626;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H5;2;H;0.0029;0.001485908;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H6;2;H;0.0043;0.001403203;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H7;2;H;0.0065;0.002521983;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H8;2;H;0.0032;0.001273976;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H9;2;H;0.0041;0.001172661;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H10;2;H;0.0038;0.001282263;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H11;2;H;0.0019;4.88E-05;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H12;2;H;0.0028;0.001348783;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H13;2;H;0.0211;0.010996202;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H14;2;H;0.0024;0.000228739;NA;NA;;0.002182;27.82571942;NA
Zebrafish;02-03-2023;H15;2;H;0.0093;0.003186025;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L16;2;L;0.0036;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L17;2;L;0.0082;0.002366299;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L18;2;L;0.0077;0.004537821;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L19;2;L;0.0094;0.003174364;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L20;2;L;0.0035;0.001822348;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L21;2;L;0.0076;0.00339967;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L22;2;L;0.004;0.001624934;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L23;2;L;0.0036;0.000939036;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L24;2;L;0.004;0.002153465;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L25;2;L;0.0088;0.002550787;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L27;2;L;0.0019;0.00136809;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L28;2;L;0.0037;0.001297449;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L29;2;L;0.0016;0.000267459;NA;NA;;0.002182;27.82571942;NA
Zebrafish;06-03-2023;L30;2;L;0.0099;0.002429366;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M16;2;M;0.0021;0.000926049;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M18;2;M;0.0016;0.000131191;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M19;2;M;9.00E-04;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M20;2;M;0.0051;0.00185692;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M21;2;M;0.0023;0.001083125;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M22;2;M;0.0018;0.000228515;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M23;2;M;0.0056;0.003284934;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M24;2;M;0.0046;0.003201385;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M25;2;M;0.005;0.002260054;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M26;2;M;0.0037;0.00126416;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M27;2;M;0.0032;0.001483938;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M28;2;M;0.0076;0.003604448;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M29;2;M;0.0048;0.003134971;NA;NA;;0.002182;27.82571942;NA
Zebrafish;07-03-2023;M30;2;M;0.0017;0.000179516;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H16;2;H;0.0012;0.000317067;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H17;2;H;0.0013;0.000376143;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H18;2;H;0.0036;0.001387157;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H19;2;H;0.0015;0.000103411;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H20;2;H;0.0038;0.001767236;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H21;2;H;0.0046;0.001848438;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H22;2;H;0.0023;0.000501058;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H24;2;H;0.0013;0.000128337;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H25;2;H;0.0071;0.003093542;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H29;2;H;9.00E-04;8.85E-05;NA;NA;;0.002182;27.82571942;NA
Zebrafish;08-03-2023;H30;2;H;9.00E-04;NA;NA;NA;;0.002182;27.82571942;NA
Zebrafish;09-03-2023;L1;3;L;0.0066;NA;NA;NA;;0.0021822;27.81646833;NA
Zebrafish;09-03-2023;L2;3;L;0.0063;0.002761901;NA;NA;;0.0021822;27.81917128;NA
