sci;AphiaID;phylum;class;order;family;genus;species;valid_name;status;code;length;lengthC;length_ref;lifespan;lifespanC;lifespan_ref;fecundity;fecundityC;fecundity_ref;develop;develop_ref;vertical;vertical_ref;ComDepthMin;ComDepthMax;DepthPref;DepthMin;DepthMax;diet;diet_ref;troph;troph_ref;TempPrefMin;TempPrefMax;TempPref;TempPrefMean;pref_ref;freq.r;freq.st
Epinephelus marginatus;127036;Chordata;Teleostei;Perciformes;Serranidae;Epinephelus;marginatus;Epinephelus marginatus;accepted;EPINGUA;119;3;Koutsidi_2023;61;3;Koutsidi_2023;1041430,5;4;Koutsidi_2023;non-guarder;Fishbase_global;benthic;Fishbase_global;41;50;1;8;300;carnivorous;fishbase_global;4,08;Koutsidi_2023;13,30000019;25,79999924;3;19;fishbase;3;0,01
Eretmophorus kleinenbergi;268163;Chordata;Teleostei;Gadiformes;Moridae;Eretmophorus;kleinenbergi;Eretmophorus kleinenbergi;accepted;ERETKLE;10,85;2;TL_fishbase;18,18;3;Phylosem;4072738,668;4;Phylosem;non-guarder;Phylosem;benthopelagic;Fishbase_global;85;243;1;30;500;planktivorous;Phylosem;3,4;Fishbase_global_2;11,30000019;15,30000019;2;13,69999981;fishbase;NA;NA
Etmopterus spinax;105913;Chordata;Elasmobranchii;Squaliformes;Etmopteridae;Etmopterus;spinax;Etmopterus spinax;accepted;ETMOSPI;52,5;3;Fishbase_med;10;3;Koutsidi_2023;11;2;Koutsidi_2023;bearer;Beukhof_2019_med;demersal;Beukhof_2019_med;200;500;2;200;2490;generalist;Coulon_2023;4,07;Koutsidi_2023;5,800000191;14,19999981;1;9,199999809;fishbase;4705;18,14
Eutelichthys leptochirus;236466;Chordata;Teleostei;Perciformes;Liparidae;Eutelichthys;leptochirus;Eutelichthys leptochirus;accepted;PARALEP;6,22;1;TL_fishbase;8,839;3;Phylosem;706801,9531;4;Fishbase_estim_med;guarder;Phylosem;demersal;Fishbase_global;522;595;4;500;700;planktivorous;Phylosem;3,2;Fishbase_scrapping_global;13,10000038;13,19999981;2;13,19999981;fishbase;38;0,15
Eutrigla gurnardus;150637;Chordata;Teleostei;Perciformes;Triglidae;Eutrigla;gurnardus;Eutrigla gurnardus;accepted;EUTRGUR;50;3;Koutsidi_2023;21;3;Koutsidi_2023;250000;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;10;150;1;10;340;generalist;Coulon_2023;3,87;Koutsidi_2023;7,300000191;13,5;1;10,10000038;fishbase;4276;16,49
Evermannella balbo;126338;Chordata;Teleostei;Aulopiformes;Evermannellidae;Evermannella;balbo;Evermannella balbo;accepted;EVERBAL;20,56;2;TL_fishbase;6,385;3;Phylosem;54615,03101;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;400;1000;4;100;1000;carnivorous;fishbase_global;4,2;Fishbase_global_2;4,099999905;13,89999962;1;8,5;fishbase;67;0,26
Facciolella oxyrhyncha;NA;Chordata;Teleostei;Anguilliformes;Nettastomatidae;Facciolella;oxyrhyncha;NA;NA;FACCOXY;60,12893366;3;Phylosem;16,75434678;3;Phylosem;82151,09908;4;Phylosem;non-guarder;Phylosem;demersal;Fishbase_global;116;341;2;30;731;carnivorous;fishbase_global;3,5;Fishbase_global_2;11;15,80000019;2;13,89999962;fishbase;143;0,55
Fistularia commersonii;217966;Chordata;Teleostei;Syngnathiformes;Fistulariidae;Fistularia;commersonii;Fistularia commersonii;accepted;FISTCOM;160;3;Koutsidi_2023;4;2;Koutsidi_2023;12130;4;Koutsidi_2023;non-guarder;Fishbase_global;benthic;Fishbase_global;14;64;1;0;132;carnivorous;fishbase_global;4,28;Koutsidi_2023;22;28,89999962;4;27,5;fishbase;15;0,06
Gadella maraldi;126488;Chordata;Teleostei;Gadiformes;Moridae;Gadella;maraldi;Gadella maraldi;accepted;GADAMAR;30;2;TL_fishbase;18,18;3;Phylosem;6,00E+07;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;242;481;2;150;900;generalist;Coulon_2023;3,45;Fishbase_global_2;13,10000038;15;2;14,10000038;fishbase;593;2,29
Gadiculus argenteus;126435;Chordata;Teleostei;Gadiformes;Gadidae;Gadiculus;argenteus;Gadiculus argenteus;accepted;GADIARG;16,1;2;TL_fishbase;4,092;2;Phylosem;2549502;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;213;493;2;100;1000;planktivorous;Coulon_2023;3,6;Fishbase_global_1;3,400000095;13,89999962;1;7,900000095;fishbase;4965;19,15
Gaidropsarus biscayensis;126452;Chordata;Teleostei;Gadiformes;Lotidae;Gaidropsarus;biscayensis;Gaidropsarus biscayensis;accepted;ANTOMEG;40;3;TL_fishbase;11,331;3;Phylosem;2500000;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;142;314;2;80;600;carnivorous;Coulon_2023;3,57;Fishbase_global_1;12,89999962;15;2;13,89999962;fishbase;2544;9,81
Gaidropsarus mediterraneus;126457;Chordata;Teleostei;Gadiformes;Lotidae;Gaidropsarus;mediterraneus;Gaidropsarus mediterraneus;accepted;GAIDMED;50;3;Koutsidi_2023;6;3;Koutsidi_2023;275000;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;53;205;1;1;450;generalist;Coulon_2023;3,47;Koutsidi_2023;7;15,19999981;1;10,10000038;fishbase;505;1,95
Gaidropsarus vulgaris;126458;Chordata;Teleostei;Gadiformes;Lotidae;Gaidropsarus;vulgaris;Gaidropsarus vulgaris;accepted;GAIDVUL;60;3;TL_fishbase;6;3;Fishbase_estim_global;2500000;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;30;70;1;20;120;carnivorous;Coulon_2023;3,47;Fishbase_global_1;7,099999905;12,60000038;1;9,600000381;fishbase;8;0,03
Galeorhinus galeus;105820;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Galeorhinus;galeus;Galeorhinus galeus;accepted;GALEGAL;193;3;TL_fishbase;39,5;3;Fishbase_estim_global;43992,58333;4;Fishbase_estim_global;bearer;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;2;471;3;0;1100;carnivorous;Coulon_2023;4,34;Fishbase_global_1;6,699999809;23,20000076;1;12,30000019;fishbase;40;0,15
Galeus atlanticus;105811;Chordata;Elasmobranchii;Carcharhiniformes;Pentanchidae;Galeus;atlanticus;Galeus atlanticus;accepted;GALUATL;41,7;3;TL_fishbase;20,58;3;Phylosem;6;1;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;NA;NA;NA;NA;540;generalist;Coulon_2023;4;Fishbase_scrapping_global;NA;NA;1;11,03840206;Phylosem;188;0,72
Galeus melastomus;105812;Chordata;Elasmobranchii;Carcharhiniformes;Pentanchidae;Galeus;melastomus;Galeus melastomus;accepted;GALUMEL;90;3;Koutsidi_2023;17;3;Koutsidi_2023;53;2;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;150;1200;3;55;1873;generalist;Coulon_2023;4,17;Koutsidi_2023;4,400000095;14,39999962;1;10,30000019;fishbase;7443;28,7
Glossanodon leioglossus;126717;Chordata;Teleostei;Argentiniformes;Argentinidae;Glossanodon;leioglossus;Glossanodon leioglossus;accepted;GLOSLEI;20;2;TL_fishbase;6,458;3;Phylosem;26351,7115;4;Phylosem;non-guarder;Fishbase_global;demersal;Fishbase_global;749;1726;4;200;4000;carnivorous;fishbase_global;3,5;Fishbase_global_2;7,599999905;13,80000019;1;13;fishbase;2179;8,4
Gnathophis mystax;126287;Chordata;Teleostei;Anguilliformes;Congridae;Gnathophis;mystax;Gnathophis mystax;accepted;GNATMYS;60;3;TL_fishbase;17,923;3;Phylosem;5500000;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;164;396;2;75;800;carnivorous;Coulon_2023;3,48;Fishbase_global_1;13,19999981;15,30000019;2;14,19999981;fishbase;877;3,38
Gobius cobitis;126886;Chordata;Teleostei;Gobiiformes;Gobiidae;Gobius;cobitis;Gobius cobitis;accepted;GOBICOB;15,7;2;TL_fishbase;10;3;Fishbase_med;5700;4;Coulon_2022_global;guarder;Coulon_2022_global;demersal;Fishbase_global;12;23;1;10;35;carnivorous;Coulon_2023;2,97;Fishbase_global_2;13,80000019;19,60000038;2;18;fishbase;1;0
Gobius cruentatus;126888;Chordata;Teleostei;Gobiiformes;Gobiidae;Gobius;cruentatus;Gobius cruentatus;accepted;GOBICRU;18;2;TL_fishbase;5,893;3;Phylosem;17722,11502;4;Phylosem;guarder;Phylosem;demersal;Fishbase_global;17;28;1;15;40;carnivorous;fishbase_global;3,37;Fishbase_global_1;11,60000038;21;2;17,70000076;fishbase;9;0,03
Gobius fallax;126889;Chordata;Teleostei;Gobiiformes;Gobiidae;Gobius;fallax;Gobius fallax;accepted;GOBIFAL;9;1;TL_fishbase;5,893;3;Phylosem;14047,93378;4;Phylosem;guarder;Phylosem;demersal;Fishbase_global;3;17;1;0;32;planktivorous;fishbase_global;3,33;Fishbase_global_1;17,60000038;21,79999924;2;19,29999924;fishbase;3;0,01
Gobius geniporus;126891;Chordata;Teleostei;Gobiiformes;Gobiidae;Gobius;geniporus;Gobius geniporus;accepted;GOBIGEN;15;2;Koutsidi_2023;4;2;Koutsidi_2023;1802,5;4;Koutsidi_2023;guarder;Phylosem;demersal;Fishbase_global;3;16;1;0;30;carnivorous;Phylosem;3,33;Koutsidi_2023;17,60000038;21,20000076;2;19,10000038;fishbase;45;0,17
Gobius niger;126892;Chordata;Teleostei;Gobiiformes;Gobiidae;Gobius;niger;Gobius niger;accepted;GOBINIG;15,2;2;Koutsidi_2023;5;2;Koutsidi_2023;3500;4;Koutsidi_2023;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;1;50;1;1;96;carnivorous;Coulon_2023;3,31;Koutsidi_2023;8,300000191;18,79999924;1;10,80000019;fishbase;2375;9,16
Gobius paganellus;126893;Chordata;Teleostei;Gobiiformes;Gobiidae;Gobius;paganellus;Gobius paganellus;accepted;GOBIPAG;13;2;TL_fishbase;10;3;Fishbase_med;706801,9531;4;Fishbase_estim_med;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;1;8;1;0;15;carnivorous;Coulon_2023;3,299999952;Fishbase_global_2;9,800000191;20,20000076;3;17,70000076;fishbase;34;0,13
Gonichthys cocco;126601;Chordata;Teleostei;Myctophiformes;Myctophidae;Gonichthys;cocco;Gonichthys cocco;accepted;GONICOC;7,32;1;TL_fishbase;3,941;2;Phylosem;10640,99036;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;425;650;4;0;1450;planktivorous;Phylosem;3,21;Fishbase_global_2;6,099999905;14,30000019;1;10,80000019;fishbase;17;0,07
Gonostoma denudatum;127295;Chordata;Teleostei;Stomiiformes;Gonostomatidae;Gonostoma;denudatum;Gonostoma denudatum;accepted;GONODEN;17,57;2;TL_fishbase;5,204;3;Phylosem;93508,35743;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;172;368;2;100;700;generalist;Phylosem;3,3;Fishbase_global_2;9,800000191;19,60000038;2;14,10000038;fishbase;169;0,65
Gouania willdenowi;126516;Chordata;Teleostei;Gobiesociformes;Gobiesocidae;Gouania;willdenowi;Gouania willdenowi;accepted;GOUAWIL;5,2;1;Fishbase_med;4,304;2;Phylosem;2138,711838;4;Phylosem;guarder;Phylosem;demersal;Fishbase_global;3;16;1;0;30;planktivorous;Phylosem;3,1;Fishbase_scrapping_global;17,70000076;21,79999924;2;19,29999924;fishbase;NA;NA
Grammonus ater;126658;Chordata;Teleostei;Ophidiiformes;Bythitidae;Grammonus;ater;Grammonus ater;accepted;OLIGATE;14,64;2;TL_fishbase;7,724;3;Phylosem;245308,4632;4;Phylosem;bearer;Fishbase_global;benthic;Fishbase_global;7;18;1;5;30;carnivorous;Phylosem;3,5;Fishbase_global_2;17,39999962;20,07999992;2;18,79999924;fishbase;6;0,02
Gymnammodytes cicerelus;126753;Chordata;Teleostei;Perciformes;Ammodytidae;Gymnammodytes;cicerelus;Gymnammodytes cicerelus;accepted;GYMACIC;17;2;TL_fishbase;11,235;3;Phylosem;58044,39468;4;Phylosem;non-guarder;Fishbase_global;demersal;Fishbase_global;12;59;1;0;120;herbivorous;fishbase_global;3,4;Fishbase_global_2;7,800000191;18,10000038;3;14,30000019;fishbase;173;0,67
Gymnura altavela;105856;Chordata;Elasmobranchii;Myliobatiformes;Gymnuridae;Gymnura;altavela;Gymnura altavela;accepted;GYMNALT;400;3;WD_fishbase;22,967;3;Phylosem;43992,58333;4;Fishbase_estim_global;bearer;Beukhof_2019_global;demersal;Beukhof_2019_global;15;52;1;5;100;carnivorous;fishbase_global;4,5;Fishbase_global_1;14,89999962;27,79999924;4;23,60000038;fishbase;4;0,02
Helicolenus dactylopterus;127251;Chordata;Teleostei;Perciformes;Sebastidae;Helicolenus;dactylopterus;Helicolenus dactylopterus;accepted;HELIDAC;32;3;Koutsidi_2023;43;3;Koutsidi_2023;168500;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;150;600;3;50;1100;generalist;Coulon_2023;3,8;Koutsidi_2023;4;18,10000038;1;10,60000038;fishbase;9503;36,65
Heptranchias perlo;105832;Chordata;Elasmobranchii;Hexanchiformes;Hexanchidae;Heptranchias;perlo;Heptranchias perlo;accepted;HEPTPER;137;3;TL_fishbase;28,393;3;Phylosem;43992,58333;4;Fishbase_estim_global;bearer;Beukhof_2019_global;demersal;Beukhof_2019_global;12,5;18,70000076;1;18,70000076;180;carnivorous;Coulon_2023;4,16;Fishbase_global_1;8,5;12,5;1;8,5;fishbase;260;1
Hexanchus griseus;105833;Chordata;Elasmobranchii;Hexanchiformes;Hexanchidae;Hexanchus;griseus;Hexanchus griseus;accepted;HEXAGRI;482;3;Koutsidi_2023;80;3;Koutsidi_2023;65;2;Koutsidi_2023;bearer;Beukhof_2019_global;demersal;Beukhof_2019_global;8,100000381;15,69999981;1;15,69999981;180;generalist;Coulon_2023;4,42;Koutsidi_2023;3,599999905;8,100000381;1;3,599999905;fishbase;53;0,2
Hippocampus guttulatus;154776;Chordata;Teleostei;Syngnathiformes;Syngnathidae;Hippocampus;guttulatus;Hippocampus guttulatus;accepted;HIPPGUT;19,7;2;Koutsidi_2023;5,5;3;Koutsidi_2023;903;3;Koutsidi_2023;bearer;Fishbase_global;demersal;Fishbase_global;3;11;1;1;20;generalist;Coulon_2023;3,5;Koutsidi_2023;12,30000019;21;2;18,60000038;fishbase;26;0,1
Hippocampus hippocampus;127380;Chordata;Teleostei;Syngnathiformes;Syngnathidae;Hippocampus;hippocampus;Hippocampus hippocampus;accepted;HIPPHIC;15;2;TL_fishbase;3,02;2;Phylosem;43992,58333;4;Fishbase_estim_global;bearer;Beukhof_2019_global;demersal;Beukhof_2019_global;6;31;1;0;60;generalist;Coulon_2023;3,15;Fishbase_global_1;10,89999962;26,5;3;17,79999924;fishbase;108;0,42
Hygophum benoiti;126602;Chordata;Teleostei;Myctophiformes;Myctophidae;Hygophum;benoiti;Hygophum benoiti;accepted;HYGOBEN;7,8;1;TL_fishbase;3,941;2;Phylosem;882;3;Coulon_2022_global;non-guarder;Coulon_2022_global;pelagic;Fishbase_global;130;340;2;51;700;planktivorous;Coulon_2023;3;Fishbase_global_2;11,5;18,5;2;14;fishbase;647;2,49
Hygophum hygomii;126603;Chordata;Teleostei;Myctophiformes;Myctophidae;Hygophum;hygomii;Hygophum hygomii;accepted;HYGOHIG;8,1;1;TL_fishbase;3,941;2;Phylosem;3113,583441;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;195;630;3;0;1485;planktivorous;Phylosem;3;Fishbase_global_2;3,900000095;17;1;11,80000019;fishbase;427;1,65
Hymenocephalus italicus;158961;Chordata;Teleostei;Gadiformes;Macrouridae;Hymenocephalus;italicus;Hymenocephalus italicus;accepted;HYMEITA;25;2;Koutsidi_2023;9;3;Koutsidi_2023;33129;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;269;656;4;100;1400;generalist;Coulon_2023;3,3;Koutsidi_2023;7,099999905;15,89999962;1;12,60000038;fishbase;6171;23,8
Ichthyococcus ovatus;127298;Chordata;Teleostei;Stomiiformes;Phosichthyidae;Ichthyococcus;ovatus;Ichthyococcus ovatus;accepted;ICHTOVA;10,37;2;TL_fishbase;2,563;2;Phylosem;55029,11878;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;200;500;2;0;2500;planktivorous;Phylosem;3,4;Fishbase_global_2;7,699999809;18,5;1;12,80000019;fishbase;48;0,19
Labrus mixtus;151501;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Labrus;mixtus;Labrus mixtus;accepted;LABSBIM;30;2;Koutsidi_2023;20;3;Koutsidi_2023;1000;3;Koutsidi_2023;guarder;Beukhof_2019_global;benthic;Beukhof_2019_global;40;80;1;2;200;carnivorous;Coulon_2023;3,91;Koutsidi_2023;7;17,10000038;1;10;fishbase;19;0,07
Labrus viridis;126968;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Labrus;viridis;Labrus viridis;accepted;LABRVIR;47;3;Koutsidi_2023;18;3;Koutsidi_2023;1000;3;Koutsidi_2023;guarder;Fishbase_global;benthic;Fishbase_global;1;6;1;0;10;carnivorous;fishbase_global;3,93;Koutsidi_2023;17,39999962;20,29999924;2;18,89999962;fishbase;10;0,04
Lagocephalus sceleratus;219954;Chordata;Teleostei;Tetraodontiformes;Tetraodontidae;Lagocephalus;sceleratus;Lagocephalus sceleratus;accepted;LAGOSCE;78,4;3;Koutsidi_2023;7;3;Koutsidi_2023;1725000;4;Koutsidi_2023;non-guarder;Phylosem;benthic;Fishbase_global;26;59;1;18;100;carnivorous;fishbase_global;3,73;Koutsidi_2023;21,60000038;28,60000038;4;27,29999924;fishbase;22;0,08
Lagocephalus suezensis;275268;Chordata;Teleostei;Tetraodontiformes;Tetraodontidae;Lagocephalus;suezensis;Lagocephalus suezensis;accepted;LAGOSUE;18;2;Koutsidi_2023;6;3;Koutsidi_2023;212500;4;Koutsidi_2023;non-guarder;Phylosem;demersal;Fishbase_global;11;18;1;10;25;carnivorous;Phylosem;3,5;Koutsidi_2023;25,60000038;29,10000038;4;27,60000038;fishbase;2;0,01
Lampanyctus crocodilus;126612;Chordata;Teleostei;Myctophiformes;Myctophidae;Lampanyctus;crocodilus;Lampanyctus crocodilus;accepted;LAMACRO;26,2;2;Koutsidi_2023;8;3;Koutsidi_2023;7020;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;275;1000;4;0;1200;planktivorous;Coulon_2023;3,22;Koutsidi_2023;3,400000095;14,60000038;1;7,900000095;fishbase;4699;18,12
Lampanyctus pusillus;126619;Chordata;Teleostei;Myctophiformes;Myctophidae;Lampanyctus;pusillus;Lampanyctus pusillus;accepted;LAMAPUS;5,25;1;TL_fishbase;3,941;2;Phylosem;6084,440155;4;Phylosem;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;140;396;2;40;850;planktivorous;Phylosem;3,4;Fishbase_global_2;8,5;16,5;1;12,30000019;fishbase;124;0,48
Lappanella fasciata;126969;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Lappanella;fasciata;Lappanella fasciata;accepted;LAPPFAS;17,07;2;Fishbase_global;11,198;3;Phylosem;21385,02365;4;Phylosem;guarder;Phylosem;benthic;Fishbase_global;52;115;1;35;200;carnivorous;fishbase_global;3,31;Koutsidi_2023;13,30000019;15,89999962;2;14,30000019;fishbase;43;0,17
Lepadogaster lepadogaster;126518;Chordata;Teleostei;Gobiesociformes;Gobiesocidae;Lepadogaster;lepadogaster;Lepadogaster lepadogaster;accepted;LEPALEP;7,93;1;TL_fishbase;4,304;2;Phylosem;195;3;Coulon_2022_global;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;1;8;1;0;15;carnivorous;Coulon_2023;3,1;Fishbase_scrapping_global;16,10000038;21,20000076;2;19;fishbase;4;0,02
Lepidion lepidion;126495;Chordata;Teleostei;Gadiformes;Moridae;Lepidion;lepidion;Lepidion lepidion;accepted;LEPOLEP;88,9;3;TL_fishbase;13;3;Fishbase_estim_global;6796150,517;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;500;900;4;127;2307;carnivorous;fishbase_global;3,59;Fishbase_global_1;13;13,69999981;2;13,19999981;fishbase;210;0,81
Lepidopus caudatus;127088;Chordata;Teleostei;Scombriformes;Trichiuridae;Lepidopus;caudatus;Lepidopus caudatus;accepted;LEPICAU;243;3;Koutsidi_2023;13;3;Koutsidi_2023;224050;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;100;300;2;42;620;generalist;Coulon_2023;3,82;Koutsidi_2023;9,800000191;16;1;12,10000038;fishbase;4806;18,53
Lepidorhombus boscii;127145;Chordata;Teleostei;Pleuronectiformes;Scophthalmidae;Lepidorhombus;boscii;Lepidorhombus boscii;accepted;LEPMBOS;38,2;3;Koutsidi_2023;13;3;Koutsidi_2023;57314;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;105;356;2;7;800;carnivorous;Coulon_2023;3,56;Koutsidi_2023;7,5;15,10000038;1;11,5;fishbase;7065;27,24
Lepidorhombus whiffiagonis;127146;Chordata;Teleostei;Pleuronectiformes;Scophthalmidae;Lepidorhombus;whiffiagonis;Lepidorhombus whiffiagonis;accepted;LEPMWHS;60;3;TL_fishbase;7;3;Fishbase_med;43992,58333;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;172;368;2;100;700;carnivorous;Coulon_2023;4,34;Fishbase_global_1;6,300000191;11,39999962;1;7,699999809;fishbase;2325;8,97
Lepidotrigla cavillone;127264;Chordata;Teleostei;Perciformes;Triglidae;Lepidotrigla;cavillone;Lepidotrigla cavillone;accepted;LEPTCAV;19,5;2;Koutsidi_2023;5;2;Koutsidi_2023;5274,5;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;79;222;1;30;450;generalist;Coulon_2023;3,41;Koutsidi_2023;13,30000019;16,39999962;2;15;fishbase;8745;33,72
Lepidotrigla dieuzeidei;127265;Chordata;Teleostei;Perciformes;Triglidae;Lepidotrigla;dieuzeidei;Lepidotrigla dieuzeidei;accepted;LEPTDIE;25;2;Stergiou&Karachle_2006_med;5;2;Koutsidi_2023;5274,5;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;60;200;1;60;596;generalist;Coulon_2023;3,66;Koutsidi_2023;13,30000019;17,29999924;2;14,60000038;fishbase;2608;10,06
Lestidiops sphyrenoides;126355;Chordata;Teleostei;Aulopiformes;Paralepididae;Lestidiops;sphyrenoides;Lestidiops sphyrenoides;accepted;LESTSPD;32,94;3;TL_fishbase;5,263;3;Phylosem;356822,5457;4;Phylosem;non-guarder;Phylosem;pelagic;Fishbase_global;116;297;2;50;600;generalist;Phylosem;4,5;Fishbase_scrapping_global;13,10000038;15,69999981;2;14,19999981;fishbase;47;0,18
Lesueurigobius friesii;126904;Chordata;Teleostei;Gobiiformes;Gobiidae;Lesueurigobius;friesii;Lesueurigobius friesii;accepted;GOBIFRI;13;2;TL_fishbase;11;3;Fishbase_med;6500;4;Coulon_2022_global;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;22;69;1;10;130;carnivorous;Coulon_2023;3,4;Fishbase_scrapping_global;7,199999809;18,39999962;1;10,39999962;fishbase;4224;16,29
Lesueurigobius sanzi;126906;Chordata;Teleostei;Gobiiformes;Gobiidae;Lesueurigobius;sanzi;Lesueurigobius sanzi;accepted;GOBISAN;12,3;2;TL_fishbase;4,983;2;Phylosem;6500;4;Coulon_2022_global;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;54;82;1;47;117;carnivorous;Coulon_2023;3,3;Fishbase_scrapping_global;15,30000019;18,70000076;2;17,10000038;fishbase;170;0,66
Lesueurigobius suerii;126907;Chordata;Teleostei;Gobiiformes;Gobiidae;Lesueurigobius;suerii;Lesueurigobius suerii;accepted;GOBISUE;7,5;1;TL_fishbase;4,983;2;Phylosem;10421,24177;4;Phylosem;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;39;156;1;1;337;carnivorous;Phylosem;3,55;Fishbase_global_2;13,30000019;18;2;14,69999981;fishbase;629;2,43
Leucoraja circularis;105873;Chordata;Elasmobranchii;Rajiformes;Rajidae;Leucoraja;circularis;Leucoraja circularis;accepted;RAJACIR;120;3;Beukhof_2019_med;16,607;3;Phylosem;48;2;Coulon_2022_global;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;143;341;2;70;676;carnivorous;Coulon_2023;3,5;Beukhof_2019_med;7,5;14,19999981;1;11,30000019;fishbase;247;0,95
Leucoraja fullonica;105874;Chordata;Elasmobranchii;Rajiformes;Rajidae;Leucoraja;fullonica;Leucoraja fullonica;accepted;RAJAFUL;120;3;TL_fishbase;16,607;3;Phylosem;48;2;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;92;264;2;30;550;carnivorous;Coulon_2023;3,5;Fishbase_global_2;6,800000191;14,5;1;9,5;fishbase;41;0,16
Leucoraja melitensis;105875;Chordata;Elasmobranchii;Rajiformes;Rajidae;Leucoraja;melitensis;Leucoraja melitensis;accepted;RAJAMEL;52;3;TL_fishbase;16,607;3;Phylosem;43992,58333;4;Fishbase_estim_global;non-guarder;Fishbase_global;demersal;Fishbase_global;124;303;2;60;600;carnivorous;fishbase_global;3,285;Fishbase_global_2;13,10000038;14,60000038;2;14;fishbase;266;1,03
Leucoraja naevus;105876;Chordata;Elasmobranchii;Rajiformes;Rajidae;Leucoraja;naevus;Leucoraja naevus;accepted;RAJANAE;81;3;TL_fishbase;18;3;Fishbase_estim_global;43992,58333;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;20;250;1;20;500;carnivorous;Coulon_2023;4,21;Fishbase_global_1;7,199999809;16,70000076;1;10,5;fishbase;467;1,8
Lichia amia;126810;Chordata;Teleostei;Carangiformes;Carangidae;Lichia;amia;Lichia amia;accepted;LICHAMI;180;3;Koutsidi_2023;9;3;Koutsidi_2023;2832000;4;Koutsidi_2023;non-guarder;Fishbase_global;pelagic;Fishbase_global;5;26;1;0;50;carnivorous;fishbase_global;4,32;Koutsidi_2023;16,20000076;29;4;26,29999924;fishbase;8;0,03
Lithognathus mormyrus;127055;Chordata;Teleostei;Eupercaria incertae sedis;Sparidae;Lithognathus;mormyrus;Lithognathus mormyrus;accepted;LITHMOR;55;3;Koutsidi_2023;12;3;Koutsidi_2023;82267;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;10;20;1;0;150;carnivorous;Coulon_2023;3,42;Koutsidi_2023;17,10000038;27,5;4;24,39999962;fishbase;130;0,5
Liza aurata;NA;Chordata;Teleostei;Mugiliformes;Mugilidae;Liza;aurata;NA;NA;LIZAAUR;56;3;Fishbase_estim_global;5,666666667;3;Fishbase_estim_global;790000;4;Fishbase_estim_global;non-guarder;Beukhof_2019_global;pelagic;Beukhof_2019_global;11;16;1;10;20;generalist;fishbase_global;2,84;Koutsidi_2023;9,699999809;20,70000076;1;11,89999962;fishbase;176;0,68
