sci;AphiaID;phylum;class;order;family;genus;species;valid_name;status;code;length;lengthC;length_ref;lifespan;lifespanC;lifespan_ref;fecundity;fecundityC;fecundity_ref;develop;develop_ref;vertical;vertical_ref;ComDepthMin;ComDepthMax;DepthPref;DepthMin;DepthMax;diet;diet_ref;troph;troph_ref;TempPrefMin;TempPrefMax;TempPref;TempPrefMean;pref_ref;freq.r;freq.st
Chlorophthalmus agassizi;126336;Chordata;Teleostei;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;agassizi;Chlorophthalmus agassizi;accepted;CLORAGA;40;3;TL_fishbase;7,194;3;Phylosem;8615;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;170;463;2;50;1000;carnivorous;Coulon_2023;3,66;Fishbase_global_1;6,400000095;19,20000076;1;12,69999981;fishbase;5367;20,7
Chromis chromis;127000;Chordata;Teleostei;Ovalentaria incertae sedis;Pomacentridae;Chromis;chromis;Chromis chromis;accepted;CHROCHR;13,4;2;Koutsidi_2023;9;3;Koutsidi_2023;39869;4;Koutsidi_2023;guarder;Fishbase_global;benthic;Fishbase_global;5;22;1;2;40;carnivorous;fishbase_global;3,7;Koutsidi_2023;16,20000076;27,79999924;4;20,10000038;fishbase;21;0,08
Citharus linguatula;127130;Chordata;Teleostei;Pleuronectiformes;Citharidae;Citharus;linguatula;Citharus linguatula;accepted;CITHMAC;23,2;2;Koutsidi_2023;7;3;Koutsidi_2023;31845,5;4;Koutsidi_2023;non-guarder;Beukhof_2019_med;demersal;Beukhof_2019_med;35;140;1;1;300;carnivorous;Coulon_2023;3,97;Koutsidi_2023;11,80000019;19,5;2;15,19999981;fishbase;6290;24,26
Coelorinchus caelorhincus;398381;Chordata;Teleostei;Gadiformes;Macrouridae;Coelorinchus;caelorhincus;Coelorinchus caelorhincus;accepted;COELCOE;24,6;2;TL_fishbase;9;3;Fishbase_estim_med;31226;4;Coulon_2022_global;non-guarder;Beukhof_2019_global;benthopelagic;Beukhof_2019_global;200;500;2;90;1485;carnivorous;Coulon_2023;3,49;Fishbase_global_1;8,600000381;19,60000038;3;13,19999981;fishbase;5488;21,16
Coelorinchus occa;280323;Chordata;Teleostei;Gadiformes;Macrouridae;Coelorinchus;occa;Coelorinchus occa;accepted;COELOCC;50;3;TL_fishbase;26,731;3;Phylosem;75863,45229;4;Phylosem;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;644;1163;4;400;2220;generalist;fishbase_global;3,62;Fishbase_global_2;4,599999905;9,899999619;1;5,900000095;fishbase;7;0,03
Conger conger;126285;Chordata;Teleostei;Anguilliformes;Congridae;Conger;conger;Conger conger;accepted;CONGCON;300;3;Koutsidi_2023;20;3;Koutsidi_2023;5500000;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;150;503;3;0;1171;carnivorous;Coulon_2023;4,26;Koutsidi_2023;4,400000095;14,39999962;1;8,699999809;fishbase;5763;22,22
Coris julis;126963;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Coris;julis;Coris julis;accepted;CORIJUL;25;2;Koutsidi_2023;7;3;Koutsidi_2023;80000;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;benthic;Beukhof_2019_global;1;60;1;0;120;carnivorous;fishbase_global;3,24;Koutsidi_2023;13,30000019;27,70000076;3;19;fishbase;234;0,9
Coryphoblennius galerita;126762;Chordata;Teleostei;Blenniiformes;Blenniidae;Coryphoblennius;galerita;Coryphoblennius galerita;accepted;COBLGAL;9,27;1;TL_fishbase;8,255;3;Phylosem;1655,19232;4;Phylosem;guarder;Fishbase_global;demersal;Fishbase_global;0;2;1;0;3;herbivorous;fishbase_global;2,28;Fishbase_global_1;12,5;20,79999924;2;18,60000038;fishbase;1;0
Crystallogobius linearis;126878;Chordata;Teleostei;Gobiiformes;Gobiidae;Crystallogobius;linearis;Crystallogobius linearis;accepted;GOBILIN;5,73;1;TL_fishbase;3;2;Fishbase_LHT;706801,9531;4;Fishbase_estim_med;guarder;Beukhof_2019_global;demersal;Beukhof_2019_global;47;184;1;1;400;planktivorous;Coulon_2023;3,4;Fishbase_global_2;6,800000191;14,30000019;1;9,800000191;fishbase;224;0,86
Ctenolabrus rupestris;126964;Chordata;Teleostei;Eupercaria incertae sedis;Labridae;Ctenolabrus;rupestris;Ctenolabrus rupestris;accepted;CTEORUP;18;2;Koutsidi_2023;8;3;Koutsidi_2023;10133;4;Koutsidi_2023;non-guarder;Beukhof_2019_global;benthic;Beukhof_2019_global;1;20;1;1;50;carnivorous;Coulon_2023;3,58;Koutsidi_2023;8,699999809;15;1;10,39999962;fishbase;NA;NA
