"csquares";"Lat";"Lon";"Year";"FD_total";"depth";"fleet"
"1300:370:370";37.75;0.05;2018;0.875891510411961;885.599975585938;"trawlers"
"1300:370:370";37.75;0.05;2019;0.873894038961422;885.599975585938;"trawlers"
"1300:370:370";37.75;0.05;2020;0.784878312861958;885.599975585938;"trawlers"
"1300:370:370";37.75;0.05;2021;0.778859639558755;885.599975585938;"trawlers"
"1300:370:380";37.85;0.05;2018;11.5725297779322;771.200012207031;"trawlers"
"1300:370:380";37.85;0.05;2019;11.5688650154123;771.200012207031;"trawlers"
"1300:370:380";37.85;0.05;2020;10.4449372046451;771.200012207031;"trawlers"
"1300:370:380";37.85;0.05;2021;10.3757398537414;771.200012207031;"trawlers"
"1300:380:100";38.05;0.05;2018;20.2781680252058;900.169982910156;"trawlers"
"1300:380:100";38.05;0.05;2019;20.2623942324329;900.169982910156;"trawlers"
"1300:380:100";38.05;0.05;2020;18.2715021119263;900.169982910156;"trawlers"
"1300:380:100";38.05;0.05;2021;18.1460017854332;900.169982910156;"trawlers"
"1300:380:101";38.05;0.15;2018;12.2250198621313;846.440002441406;"trawlers"
"1300:380:101";38.05;0.15;2019;12.200962169885;846.440002441406;"trawlers"
"1300:380:101";38.05;0.15;2020;10.9673221936561;846.440002441406;"trawlers"
"1300:380:101";38.05;0.15;2021;10.8850540239102;846.440002441406;"trawlers"
"1300:380:102";38.05;0.25;2018;8.60056328212082;818.099975585938;"trawlers"
"1300:380:102";38.05;0.25;2019;8.6226569409595;818.099975585938;"trawlers"
"1300:380:102";38.05;0.25;2020;7.84434099494885;818.099975585938;"trawlers"
"1300:380:102";38.05;0.25;2021;7.80418719169587;818.099975585938;"trawlers"
"1300:380:103";38.05;0.35;2018;8.6697281404805;826.130004882812;"trawlers"
"1300:380:103";38.05;0.35;2019;8.67869382208211;826.130004882812;"trawlers"
"1300:380:103";38.05;0.35;2020;7.86357266995248;826.130004882812;"trawlers"
"1300:380:103";38.05;0.35;2021;7.81705208506131;826.130004882812;"trawlers"
"1300:380:104";38.05;0.45;2018;6.79215070932588;901.239990234375;"trawlers"
"1300:380:104";38.05;0.45;2019;6.78966941136351;901.239990234375;"trawlers"
"1300:380:104";38.05;0.45;2020;6.12925510283904;901.239990234375;"trawlers"
"1300:380:104";38.05;0.45;2021;6.08849171716936;901.239990234375;"trawlers"
"1300:380:110";38.15;0.05;2018;254.63850708253;326.709991455078;"trawlers"
"1300:380:110";38.15;0.05;2019;254.110747631179;326.709991455078;"trawlers"
"1300:380:110";38.15;0.05;2020;228.353708585704;326.709991455078;"trawlers"
"1300:380:110";38.15;0.05;2021;226.628013389322;326.709991455078;"trawlers"
"1300:380:111";38.15;0.15;2018;240.662247695413;404.660003662109;"trawlers"
"1300:380:111";38.15;0.15;2019;240.184633347821;404.660003662109;"trawlers"
"1300:380:111";38.15;0.15;2020;215.889931490475;404.660003662109;"trawlers"
"1300:380:111";38.15;0.15;2021;214.268573771272;404.660003662109;"trawlers"
"1300:380:112";38.15;0.25;2018;138.576999827874;468.010009765625;"trawlers"
"1300:380:112";38.15;0.25;2019;138.308654735833;468.010009765625;"trawlers"
"1300:380:112";38.15;0.25;2020;124.334712464124;468.010009765625;"trawlers"
"1300:380:112";38.15;0.25;2021;123.404140805805;468.010009765625;"trawlers"
"1300:380:113";38.15;0.35;2018;69.4317413269965;650;"trawlers"
"1300:380:113";38.15;0.35;2019;69.3138187267824;650;"trawlers"
"1300:380:113";38.15;0.35;2020;62.3503454213816;650;"trawlers"
"1300:380:113";38.15;0.35;2021;61.8916049568368;650;"trawlers"
"1300:380:114";38.15;0.45;2018;27.9727479946608;753.200012207031;"trawlers"
"1300:380:114";38.15;0.45;2019;27.9283039272813;753.200012207031;"trawlers"
"1300:380:114";38.15;0.45;2020;25.1298867585146;753.200012207031;"trawlers"
"1300:380:114";38.15;0.45;2021;24.9464609247338;753.200012207031;"trawlers"
"1300:380:120";38.25;0.05;2018;204.834030871261;134.139999389648;"trawlers"
"1300:380:120";38.25;0.05;2019;204.380851259448;134.139999389648;"trawlers"
"1300:380:120";38.25;0.05;2020;183.595845424983;134.139999389648;"trawlers"
"1300:380:120";38.25;0.05;2021;182.194666037698;134.139999389648;"trawlers"
"1300:380:121";38.25;0.15;2018;214.989378186067;183.740005493164;"trawlers"
"1300:380:121";38.25;0.15;2019;214.515823152549;183.740005493164;"trawlers"
"1300:380:121";38.25;0.15;2020;192.705133411556;183.740005493164;"trawlers"
"1300:380:121";38.25;0.15;2021;191.235436252171;183.740005493164;"trawlers"
"1300:380:122";38.25;0.25;2018;218.624241319412;330.890014648438;"trawlers"
"1300:380:122";38.25;0.25;2019;218.151834022965;330.890014648438;"trawlers"
"1300:380:122";38.25;0.25;2020;196.044035102109;330.890014648438;"trawlers"
"1300:380:122";38.25;0.25;2021;194.56326230616;330.890014648438;"trawlers"
"1300:380:123";38.25;0.35;2018;193.622868172517;555.070007324219;"trawlers"
"1300:380:123";38.25;0.35;2019;192.915270616161;555.070007324219;"trawlers"
"1300:380:123";38.25;0.35;2020;174.349735902162;555.070007324219;"trawlers"
"1300:380:123";38.25;0.35;2021;173.225571307531;555.070007324219;"trawlers"
"1300:380:124";38.25;0.45;2018;57.0516097588535;658.950012207031;"trawlers"
"1300:380:124";38.25;0.45;2019;56.876544192847;658.950012207031;"trawlers"
"1300:380:124";38.25;0.45;2020;51.7520658727987;658.950012207031;"trawlers"
"1300:380:124";38.25;0.45;2021;51.4871252751343;658.950012207031;"trawlers"
"1300:380:130";38.35;0.05;2018;203.523582985922;98.4599990844727;"trawlers"
"1300:380:130";38.35;0.05;2019;203.078428103692;98.4599990844727;"trawlers"
"1300:380:130";38.35;0.05;2020;182.438163230382;98.4599990844727;"trawlers"
"1300:380:130";38.35;0.05;2021;181.048276195738;98.4599990844727;"trawlers"
"1300:380:131";38.35;0.15;2018;201.350742332374;108.709999084473;"trawlers"
"1300:380:131";38.35;0.15;2019;200.924461904543;108.709999084473;"trawlers"
"1300:380:131";38.35;0.15;2020;180.536974835866;108.709999084473;"trawlers"
"1300:380:131";38.35;0.15;2021;179.168341041128;108.709999084473;"trawlers"
"1300:380:132";38.35;0.25;2018;237.784698768659;122.440002441406;"trawlers"
"1300:380:132";38.35;0.25;2019;237.190813958244;122.440002441406;"trawlers"
"1300:380:132";38.35;0.25;2020;213.241961536959;122.440002441406;"trawlers"
"1300:380:132";38.35;0.25;2021;211.648271091834;122.440002441406;"trawlers"
"1300:380:133";38.35;0.35;2018;243.677392240794;319.859985351562;"trawlers"
"1300:380:133";38.35;0.35;2019;243.018977957757;319.859985351562;"trawlers"
"1300:380:133";38.35;0.35;2020;218.665238228254;319.859985351562;"trawlers"
"1300:380:133";38.35;0.35;2021;217.066956401669;319.859985351562;"trawlers"
"1300:380:134";38.35;0.45;2018;150.65903988529;486.829986572266;"trawlers"
"1300:380:134";38.35;0.45;2019;150.281243634603;486.829986572266;"trawlers"
"1300:380:134";38.35;0.45;2020;135.183645089492;486.829986572266;"trawlers"
"1300:380:134";38.35;0.45;2021;134.188345000023;486.829986572266;"trawlers"
"1300:380:140";38.45;0.05;2018;259.730598903464;84.3099975585938;"trawlers"
"1300:380:140";38.45;0.05;2019;259.139295329275;84.3099975585938;"trawlers"
"1300:380:140";38.45;0.05;2020;232.745533068515;84.3099975585938;"trawlers"
"1300:380:140";38.45;0.05;2021;230.961258594269;84.3099975585938;"trawlers"
"1300:380:141";38.45;0.15;2018;255.429152690254;85.8899993896484;"trawlers"
"1300:380:141";38.45;0.15;2019;254.854314519377;85.8899993896484;"trawlers"
"1300:380:141";38.45;0.15;2020;228.912982905182;85.8899993896484;"trawlers"
"1300:380:141";38.45;0.15;2021;227.161289097732;85.8899993896484;"trawlers"
"1300:380:142";38.45;0.25;2018;216.062222536207;92.7300033569336;"trawlers"
"1300:380:142";38.45;0.25;2019;215.587233192032;92.7300033569336;"trawlers"
"1300:380:142";38.45;0.25;2020;193.669835647505;92.7300033569336;"trawlers"
"1300:380:142";38.45;0.25;2021;192.193226282478;92.7300033569336;"trawlers"
"1300:380:143";38.45;0.35;2018;207.508468719988;125.199996948242;"trawlers"
"1300:380:143";38.45;0.35;2019;207.045368572464;125.199996948242;"trawlers"
"1300:380:143";38.45;0.35;2020;185.979790016818;125.199996948242;"trawlers"
"1300:380:143";38.45;0.35;2021;184.55849743436;125.199996948242;"trawlers"
"1300:380:144";38.45;0.45;2018;228.795166059264;282.799987792969;"trawlers"
"1300:380:144";38.45;0.45;2019;228.279181290097;282.799987792969;"trawlers"
"1300:380:144";38.45;0.45;2020;205.040299010061;282.799987792969;"trawlers"
"1300:380:144";38.45;0.45;2021;203.470763753898;282.799987792969;"trawlers"
"1300:380:225";38.25;0.55;2018;16.3583104504248;761.760009765625;"trawlers"
"1300:380:225";38.25;0.55;2019;16.3742022997197;761.760009765625;"trawlers"
"1300:380:225";38.25;0.55;2020;14.8338537416955;761.760009765625;"trawlers"
"1300:380:225";38.25;0.55;2021;14.7456117349545;761.760009765625;"trawlers"
"1300:380:226";38.25;0.65;2018;17.8260048547473;846.549987792969;"trawlers"
"1300:380:226";38.25;0.65;2019;17.8187209654187;846.549987792969;"trawlers"
"1300:380:226";38.25;0.65;2020;16.0836914395938;846.549987792969;"trawlers"
"1300:380:226";38.25;0.65;2021;15.9763573607494;846.549987792969;"trawlers"
"1300:380:227";38.25;0.75;2018;20.5965848724829;942.200012207031;"trawlers"
"1300:380:227";38.25;0.75;2019;19.927618937721;942.200012207031;"trawlers"
"1300:380:227";38.25;0.75;2020;16.7615536988108;942.200012207031;"trawlers"
"1300:380:227";38.25;0.75;2021;16.8247411826988;942.200012207031;"trawlers"
"1300:380:235";38.35;0.55;2018;52.9444954020983;712.799987792969;"trawlers"
"1300:380:235";38.35;0.55;2019;52.8222137494748;712.799987792969;"trawlers"
"1300:380:235";38.35;0.55;2020;47.5178501586601;712.799987792969;"trawlers"
"1300:380:235";38.35;0.55;2021;47.1685067302478;712.799987792969;"trawlers"
"1300:380:236";38.35;0.65;2018;21.1676506437181;882.549987792969;"trawlers"
"1300:380:236";38.35;0.65;2019;20.9807334622435;882.549987792969;"trawlers"
"1300:380:236";38.35;0.65;2020;18.5896665409131;882.549987792969;"trawlers"
"1300:380:236";38.35;0.65;2021;18.4889086862523;882.549987792969;"trawlers"
"1300:380:239";38.35;0.95;2018;20.1979856700482;959.150024414062;"trawlers"
"1300:380:239";38.35;0.95;2019;20.062233153612;959.150024414062;"trawlers"
"1300:380:239";38.35;0.95;2020;17.8844623780942;959.150024414062;"trawlers"
"1300:380:239";38.35;0.95;2021;17.8158521093378;959.150024414062;"trawlers"
"1300:380:245";38.45;0.55;2018;159.631469664918;575.099975585938;"trawlers"
"1300:380:245";38.45;0.55;2019;159.213074248628;575.099975585938;"trawlers"
"1300:380:245";38.45;0.55;2020;143.267828976635;575.099975585938;"trawlers"
"1300:380:245";38.45;0.55;2021;142.222699393371;575.099975585938;"trawlers"
"1300:380:246";38.45;0.65;2018;38.9221700547176;730.25;"trawlers"
"1300:380:246";38.45;0.65;2019;37.9447087529686;730.25;"trawlers"
"1300:380:246";38.45;0.65;2020;32.4220374507406;730.25;"trawlers"
"1300:380:246";38.45;0.65;2021;32.4001889363843;730.25;"trawlers"
"1300:380:247";38.45;0.75;2018;19.3861345510876;835.150024414062;"trawlers"
"1300:380:247";38.45;0.75;2019;18.7306422496534;835.150024414062;"trawlers"
"1300:380:247";38.45;0.75;2020;15.6883080291241;835.150024414062;"trawlers"
"1300:380:247";38.45;0.75;2021;15.731909608664;835.150024414062;"trawlers"
"1300:380:248";38.45;0.85;2018;18.0503621997033;947.099975585938;"trawlers"
"1300:380:248";38.45;0.85;2019;17.7321039995263;947.099975585938;"trawlers"
"1300:380:248";38.45;0.85;2020;15.4165139897237;947.099975585938;"trawlers"
"1300:380:248";38.45;0.85;2021;15.3792850067715;947.099975585938;"trawlers"
"1300:380:249";38.45;0.95;2018;22.6732810404696;880.950012207031;"trawlers"
"1300:380:249";38.45;0.95;2019;22.6312674875772;880.950012207031;"trawlers"
"1300:380:249";38.45;0.95;2020;20.3492633034314;880.950012207031;"trawlers"
"1300:380:249";38.45;0.95;2021;20.197867077381;880.950012207031;"trawlers"
"1300:380:350";38.55;0.05;2018;504.304044485127;67.7399978637695;"trawlers"
"1300:380:350";38.55;0.05;2019;503.148040997464;67.7399978637695;"trawlers"
"1300:380:350";38.55;0.05;2020;451.916281053992;67.7399978637695;"trawlers"
"1300:380:350";38.55;0.05;2021;448.454655759234;67.7399978637695;"trawlers"
"1300:380:351";38.55;0.15;2018;338.137332466601;70.8899993896484;"trawlers"
"1300:380:351";38.55;0.15;2019;337.366209947506;70.8899993896484;"trawlers"
"1300:380:351";38.55;0.15;2020;303.001748352606;70.8899993896484;"trawlers"
"1300:380:351";38.55;0.15;2021;300.678243544601;70.8899993896484;"trawlers"
"1300:380:352";38.55;0.25;2018;224.967620678964;80.370002746582;"trawlers"
"1300:380:352";38.55;0.25;2019;224.462072907195;80.370002746582;"trawlers"
"1300:380:352";38.55;0.25;2020;201.616100860853;80.370002746582;"trawlers"
"1300:380:352";38.55;0.25;2021;200.073642472136;80.370002746582;"trawlers"
"1300:380:353";38.55;0.35;2018;233.706791952442;102.540000915527;"trawlers"
"1300:380:353";38.55;0.35;2019;233.205179745938;102.540000915527;"trawlers"
"1300:380:353";38.55;0.35;2020;209.525844948667;102.540000915527;"trawlers"
"1300:380:353";38.55;0.35;2021;207.934175886695;102.540000915527;"trawlers"
"1300:380:354";38.55;0.45;2018;254.375925423627;150.800003051758;"trawlers"
"1300:380:354";38.55;0.45;2019;253.807943311095;150.800003051758;"trawlers"
"1300:380:354";38.55;0.45;2020;227.983875365911;150.800003051758;"trawlers"
"1300:380:354";38.55;0.45;2021;226.241442024323;150.800003051758;"trawlers"
"1300:380:361";38.65;0.15;2018;477.249202967753;44.2099990844727;"trawlers"
"1300:380:361";38.65;0.15;2019;476.143055756289;44.2099990844727;"trawlers"
"1300:380:361";38.65;0.15;2020;427.61374473999;44.2099990844727;"trawlers"
"1300:380:361";38.65;0.15;2021;424.340678506446;44.2099990844727;"trawlers"
"1300:380:362";38.65;0.25;2018;429.009801393008;60.8300018310547;"trawlers"
"1300:380:362";38.65;0.25;2019;428.031444119193;60.8300018310547;"trawlers"
"1300:380:362";38.65;0.25;2020;384.43173054642;60.8300018310547;"trawlers"
"1300:380:362";38.65;0.25;2021;381.483797146263;60.8300018310547;"trawlers"
"1300:380:363";38.65;0.35;2018;213.680920536315;95.2699966430664;"trawlers"
"1300:380:363";38.65;0.35;2019;213.193620986973;95.2699966430664;"trawlers"
"1300:380:363";38.65;0.35;2020;191.477504243022;95.2699966430664;"trawlers"
"1300:380:363";38.65;0.35;2021;190.009199508305;95.2699966430664;"trawlers"
"1300:380:364";38.65;0.45;2018;220.351020095377;138.600006103516;"trawlers"
"1300:380:364";38.65;0.45;2019;219.869856505433;138.600006103516;"trawlers"
"1300:380:364";38.65;0.45;2020;197.524873188851;138.600006103516;"trawlers"
"1300:380:364";38.65;0.45;2021;196.020431554857;138.600006103516;"trawlers"
"1300:380:372";38.75;0.25;2018;93.7029527529268;56.6199989318848;"trawlers"
"1300:380:372";38.75;0.25;2019;93.4928820922386;56.6199989318848;"trawlers"
"1300:380:372";38.75;0.25;2020;83.9782799385501;56.6199989318848;"trawlers"
"1300:380:372";38.75;0.25;2021;83.3360456027421;56.6199989318848;"trawlers"
"1300:380:373";38.75;0.35;2018;242.136142164395;96.7699966430664;"trawlers"
"1300:380:373";38.75;0.35;2019;241.583950454157;96.7699966430664;"trawlers"
"1300:380:373";38.75;0.35;2020;216.975966185022;96.7699966430664;"trawlers"
"1300:380:373";38.75;0.35;2021;215.312131889037;96.7699966430664;"trawlers"
"1300:380:374";38.75;0.45;2018;169.29829116845;152.029998779297;"trawlers"
"1300:380:374";38.75;0.45;2019;168.916837576129;152.029998779297;"trawlers"
"1300:380:374";38.75;0.45;2020;151.721902528222;152.029998779297;"trawlers"
"1300:380:374";38.75;0.45;2021;150.560675962948;152.029998779297;"trawlers"
"1300:380:381";38.85;0.15;2018;46.2077031419523;24.9899997711182;"trawlers"
"1300:380:381";38.85;0.15;2019;46.1023264295126;24.9899997711182;"trawlers"
"1300:380:381";38.85;0.15;2020;41.4062970723668;24.9899997711182;"trawlers"
"1300:380:381";38.85;0.15;2021;41.0887816426625;24.9899997711182;"trawlers"
"1300:380:382";38.85;0.25;2018;143.845451271424;92.2300033569336;"trawlers"
"1300:380:382";38.85;0.25;2019;143.517411578392;92.2300033569336;"trawlers"
"1300:380:382";38.85;0.25;2020;128.8985836313;92.2300033569336;"trawlers"
"1300:380:382";38.85;0.25;2021;127.910152110886;92.2300033569336;"trawlers"
"1300:380:383";38.85;0.35;2018;277.366845226221;127.830001831055;"trawlers"
"1300:380:383";38.85;0.35;2019;276.734309863017;127.830001831055;"trawlers"
"1300:380:383";38.85;0.35;2020;248.545874617061;127.830001831055;"trawlers"
"1300:380:383";38.85;0.35;2021;246.639953156798;127.830001831055;"trawlers"
"1300:380:384";38.85;0.45;2018;70.371386441183;281.359985351562;"trawlers"
"1300:380:384";38.85;0.45;2019;70.2109044252253;281.359985351562;"trawlers"
"1300:380:384";38.85;0.45;2020;63.0591510559734;281.359985351562;"trawlers"
"1300:380:384";38.85;0.45;2021;62.5755952961011;281.359985351562;"trawlers"
"1300:380:390";38.95;0.05;2018;0.118825980857532;44.439998626709;"trawlers"
"1300:380:390";38.95;0.05;2019;0.118554998091375;44.439998626709;"trawlers"
"1300:380:390";38.95;0.05;2020;0.106478866698642;44.439998626709;"trawlers"
"1300:380:390";38.95;0.05;2021;0.105662356034692;44.439998626709;"trawlers"
"1300:380:391";38.95;0.15;2018;185.26530756852;74.2099990844727;"trawlers"
"1300:380:391";38.95;0.15;2019;184.842809852486;74.2099990844727;"trawlers"
"1300:380:391";38.95;0.15;2020;166.014535256587;74.2099990844727;"trawlers"
"1300:380:391";38.95;0.15;2021;164.741487912918;74.2099990844727;"trawlers"
"1300:380:392";38.95;0.25;2018;329.115559889676;135.490005493164;"trawlers"
"1300:380:392";38.95;0.25;2019;328.365011531811;135.490005493164;"trawlers"
"1300:380:392";38.95;0.25;2020;294.91742106432;135.490005493164;"trawlers"
"1300:380:392";38.95;0.25;2021;292.655909209906;135.490005493164;"trawlers"
"1300:380:393";38.95;0.35;2018;217.488152973488;212.75;"trawlers"
"1300:380:393";38.95;0.35;2019;216.99217102683;212.75;"trawlers"
"1300:380:393";38.95;0.35;2020;194.889130153811;212.75;"trawlers"
"1300:380:393";38.95;0.35;2021;193.394664087518;212.75;"trawlers"
"1300:380:394";38.95;0.45;2018;107.138425417126;535.059997558594;"trawlers"
"1300:380:394";38.95;0.45;2019;106.89409613264;535.059997558594;"trawlers"
"1300:380:394";38.95;0.45;2020;96.0057559463385;535.059997558594;"trawlers"
"1300:380:394";38.95;0.45;2021;95.2695561166335;535.059997558594;"trawlers"
"1300:380:455";38.55;0.55;2018;201.480505250742;545;"trawlers"
"1300:380:455";38.55;0.55;2019;200.996618551233;545;"trawlers"
"1300:380:455";38.55;0.55;2020;180.60268001537;545;"trawlers"
"1300:380:455";38.55;0.55;2021;179.23338511159;545;"trawlers"
"1300:380:456";38.55;0.65;2018;79.2989201560442;522.799987792969;"trawlers"
"1300:380:456";38.55;0.65;2019;78.9058886688457;522.799987792969;"trawlers"
"1300:380:456";38.55;0.65;2020;70.5512571983606;522.799987792969;"trawlers"
"1300:380:456";38.55;0.65;2021;70.0792066903916;522.799987792969;"trawlers"
"1300:380:457";38.55;0.75;2018;17.9641180887847;893.619995117188;"trawlers"
"1300:380:457";38.55;0.75;2019;17.8562516735615;893.619995117188;"trawlers"
"1300:380:457";38.55;0.75;2020;15.9180062961965;893.619995117188;"trawlers"
"1300:380:457";38.55;0.75;2021;15.820450632807;893.619995117188;"trawlers"
