"csquares";"Lat";"Lon";"Year";"FD_total";"depth";"fleet"
"1300:370:370";37.75;0.05;2018;3.1942905727883;885.599975585938;"demersal fisheries"
"1300:370:370";37.75;0.05;2019;2.96245334358604;885.599975585938;"demersal fisheries"
"1300:370:370";37.75;0.05;2020;2.20120154218547;885.599975585938;"demersal fisheries"
"1300:370:370";37.75;0.05;2021;2.14873083884199;885.599975585938;"demersal fisheries"
"1300:370:380";37.85;0.05;2018;12.2426036532775;771.200012207031;"demersal fisheries"
"1300:370:380";37.85;0.05;2019;12.1725095949196;771.200012207031;"demersal fisheries"
"1300:370:380";37.85;0.05;2020;10.8542891623886;771.200012207031;"demersal fisheries"
"1300:370:380";37.85;0.05;2021;10.7716660418269;771.200012207031;"demersal fisheries"
"1300:380:100";38.05;0.05;2018;20.2781680252058;900.169982910156;"demersal fisheries"
"1300:380:100";38.05;0.05;2019;20.2623942324329;900.169982910156;"demersal fisheries"
"1300:380:100";38.05;0.05;2020;18.2715021119263;900.169982910156;"demersal fisheries"
"1300:380:100";38.05;0.05;2021;18.1460017854332;900.169982910156;"demersal fisheries"
"1300:380:101";38.05;0.15;2018;12.9338955314815;846.440002441406;"demersal fisheries"
"1300:380:101";38.05;0.15;2019;12.6684332938192;846.440002441406;"demersal fisheries"
"1300:380:101";38.05;0.15;2020;11.1468178700373;846.440002441406;"demersal fisheries"
"1300:380:101";38.05;0.15;2021;10.910713657075;846.440002441406;"demersal fisheries"
"1300:380:102";38.05;0.25;2018;8.95132818586662;818.099975585938;"demersal fisheries"
"1300:380:102";38.05;0.25;2019;8.85397037275075;818.099975585938;"demersal fisheries"
"1300:380:102";38.05;0.25;2020;7.93315880372819;818.099975585938;"demersal fisheries"
"1300:380:102";38.05;0.25;2021;7.81688405681107;818.099975585938;"demersal fisheries"
"1300:380:103";38.05;0.35;2018;8.6697281404805;826.130004882812;"demersal fisheries"
"1300:380:103";38.05;0.35;2019;8.67869382208211;826.130004882812;"demersal fisheries"
"1300:380:103";38.05;0.35;2020;7.86357266995248;826.130004882812;"demersal fisheries"
"1300:380:103";38.05;0.35;2021;7.81705208506131;826.130004882812;"demersal fisheries"
"1300:380:104";38.05;0.45;2018;8.04426277973749;901.239990234375;"demersal fisheries"
"1300:380:104";38.05;0.45;2019;7.90545870672679;901.239990234375;"demersal fisheries"
"1300:380:104";38.05;0.45;2020;6.87611297366212;901.239990234375;"demersal fisheries"
"1300:380:104";38.05;0.45;2021;6.80031401898371;901.239990234375;"demersal fisheries"
"1300:380:110";38.15;0.05;2018;254.99218293167;326.709991455078;"demersal fisheries"
"1300:380:110";38.15;0.05;2019;254.424896655758;326.709991455078;"demersal fisheries"
"1300:380:110";38.15;0.05;2020;228.641831892813;326.709991455078;"demersal fisheries"
"1300:380:110";38.15;0.05;2021;226.793089115942;326.709991455078;"demersal fisheries"
"1300:380:111";38.15;0.15;2018;242.534524236611;404.660003662109;"demersal fisheries"
"1300:380:111";38.15;0.15;2019;241.419314204948;404.660003662109;"demersal fisheries"
"1300:380:111";38.15;0.15;2020;216.364013982887;404.660003662109;"demersal fisheries"
"1300:380:111";38.15;0.15;2021;214.336345781664;404.660003662109;"demersal fisheries"
"1300:380:112";38.15;0.25;2018;141.578468144997;468.010009765625;"demersal fisheries"
"1300:380:112";38.15;0.25;2019;140.810122650097;468.010009765625;"demersal fisheries"
"1300:380:112";38.15;0.25;2020;125.392501334545;468.010009765625;"demersal fisheries"
"1300:380:112";38.15;0.25;2021;123.959987742222;468.010009765625;"demersal fisheries"
"1300:380:113";38.15;0.35;2018;70.1669601314618;650;"demersal fisheries"
"1300:380:113";38.15;0.35;2019;69.8630483964623;650;"demersal fisheries"
"1300:380:113";38.15;0.35;2020;62.7311327072521;650;"demersal fisheries"
"1300:380:113";38.15;0.35;2021;62.4756882381156;650;"demersal fisheries"
"1300:380:114";38.15;0.45;2018;30.8688667583079;753.200012207031;"demersal fisheries"
"1300:380:114";38.15;0.45;2019;30.168582450071;753.200012207031;"demersal fisheries"
"1300:380:114";38.15;0.45;2020;26.3768691891983;753.200012207031;"demersal fisheries"
