Lat,Lon,Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
43.100000,3.300000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",,trawlers,1,1.04
34.900000,14.400000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",TUN,trawlers,3,31.57
42.300000,17.600000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,set_longlines,1,2.60
38.500000,0.500000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",FRA,set_longlines,1,0.75
36.100000,13.300000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",MLT,drifting_longlines,2,4.97
37.700000,-0.300000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ESP,drifting_longlines,8,84.81
37.500000,25.400000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",GRC,drifting_longlines,1,0.91
38.500000,-0.300000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ESP,other_purse_seines,32,62.24
45.700000,36.900000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",RUS,fishing,2,11.91
44.300000,13.100000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,other_purse_seines,1,5.48
41.500000,41.200000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",TUR,other_purse_seines,2,16.98
36.100000,13.500000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",TUN,trawlers,2,4.69
40.900000,8.300000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,trawlers,8,1349.16
37.000000,11.900000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,fishing,6,77.86
35.500000,31.000000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",GRC,drifting_longlines,1,6.83
43.700000,9.100000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",MLT,fishing,2,26.98
43.900000,9.500000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,pole_and_line,1,15.81
38.400000,12.800000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,fishing,1,6.67
43.400000,15.300000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",HRV,other_purse_seines,6,8.13
41.600000,36.200000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",TUR,purse_seines,1,1.50
37.600000,23.900000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",GRC,fixed_gear,1,4.11
36.300000,12.700000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",TUN,fishing,1,10.87
39.800000,10.000000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,fishing,2,18.08
37.200000,11.700000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,fishing,5,44.89
36.200000,-2.500000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ESP,fishing,1,5.07
42.000000,8.100000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",FRA,fishing,1,0.83
39.100000,0.400000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ESP,trawlers,13,554.24
38.600000,20.300000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,drifting_longlines,2,6.65
35.000000,14.100000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",TUR,purse_seines,1,4.20
40.400000,1.800000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ESP,drifting_longlines,1,4.35
42.400000,7.400000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",FRA,fishing,1,2.51
35.200000,14.700000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ALB,other_purse_seines,2,44.58
45.800000,36.700000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",RUS,fishing,1,6.91
38.400000,11.900000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,trawlers,3,19.57
38.800000,9.100000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,fishing,2,14.63
39.200000,2.200000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",ITA,fishing,1,7.76
42.700000,16.400000,"2021-01-01T00:00:00.000Z,2022-01-01T00:00:00.000Z",HRV,trawlers,20,371.87
