Lat,Lon,Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
39.800000,16.500000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,trawlers,13,705.01
38.500000,0.400000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ESP,drifting_longlines,1,0.27
38.300000,-0.100000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",MLT,fishing,1,8.91
38.900000,2.800000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ESP,drifting_longlines,5,25.33
34.500000,13.800000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",DZA,purse_seines,1,4.39
40.000000,9.800000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,fishing,1,6.47
43.400000,10.100000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,other_purse_seines,2,49.10
39.000000,25.700000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",TUR,trawlers,6,17.96
44.400000,12.600000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,trawlers,54,1476.25
36.600000,-2.300000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ESP,drifting_longlines,2,21.86
37.000000,24.700000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",GRC,fishing,2,6.17
39.600000,24.900000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",GRC,trawlers,7,130.56
34.900000,14.400000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",TUN,trawlers,1,6.47
44.500000,13.600000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,trawlers,3,9.27
42.400000,15.700000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,drifting_longlines,3,12.66
39.700000,15.500000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,fishing,2,21.04
37.100000,23.100000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",HRV,trawlers,1,0.93
42.300000,15.000000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,pots_and_traps,1,88.51
36.500000,12.900000,"2019-01-01T00:00:00.000Z,2020-01-01T00:00:00.000Z",ITA,fishing,1,2.67
