Lat,Lon,Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
39.100000,7.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,10,699.22
41.600000,36.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,purse_seines,1,2.14
38.400000,12.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,1.17
35.600000,13.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,drifting_longlines,1,2.57
35.900000,23.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,set_longlines,1,17.46
42.100000,10.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,set_longlines,2,5.34
41.700000,11.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",PRT,pots_and_traps,1,38.29
40.100000,0.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,other_purse_seines,4,26.51
35.400000,15.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,0.28
34.000000,12.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,trawlers,1,20.96
37.200000,11.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,8,49.40
38.200000,21.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",RUS,fishing,1,0.89
39.800000,24.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,trawlers,3,2.34
35.900000,32.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,trawlers,1,2.60
36.000000,23.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,drifting_longlines,1,11.68
38.700000,12.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,3,22.77
36.400000,34.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",CYP,fishing,1,1.84
37.800000,26.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,trawlers,1,2.58
36.000000,30.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,fishing,1,2.64
40.200000,1.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,trawlers,12,83.39
39.100000,0.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,trawlers,18,703.59
36.200000,31.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MAR,other_purse_seines,1,0.26
39.600000,16.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,3,41.79
37.300000,16.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,5.35
38.500000,26.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,trawlers,1,24.26
38.300000,9.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,trawlers,1,5.37
42.700000,15.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",HRV,other_purse_seines,1,0.29
41.000000,2.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,3,20.32
44.600000,14.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",HRV,trawlers,1,43.98
35.300000,12.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,other_purse_seines,5,12.74
43.700000,15.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",HRV,trawlers,1,0.25
35.100000,14.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",FRA,fishing,1,2.19
40.000000,2.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,pots_and_traps,1,0.78
38.600000,20.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,2.72
36.000000,35.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,other_purse_seines,2,13.03
38.500000,10.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,1,1.75
35.400000,13.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,1,0.55
37.200000,27.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,trawlers,18,506.83
40.600000,25.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,other_purse_seines,2,25.09
37.300000,15.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,1,1.35
35.500000,30.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,fishing,1,2.43
35.300000,34.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",CYP,fishing,1,0.00
35.100000,13.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,set_longlines,1,2.92
40.100000,3.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,1,3.11
39.600000,-0.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,trawlers,25,636.91
44.100000,38.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",RUS,trawlers,12,76.03
34.200000,34.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",CYP,drifting_longlines,1,0.79
41.900000,11.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,22,1214.10
35.900000,23.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,other_purse_seines,1,0.52
38.400000,11.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,1,22.34
38.200000,0.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,4,54.08
35.400000,13.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,set_longlines,2,23.16
42.000000,3.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,1,5.07
39.000000,25.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,fishing,1,1.10
41.100000,30.000000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,other_purse_seines,1,0.77
43.600000,10.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,3,5.88
43.500000,14.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,set_longlines,1,3.39
36.200000,31.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,fishing,1,0.52
36.400000,12.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,44,1058.93
41.900000,11.800000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,purse_seines,1,14.69
36.500000,13.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,6,8.02
36.300000,23.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",PRT,pots_and_traps,1,5.85
42.700000,16.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",HRV,trawlers,9,87.43
43.100000,16.100000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",HRV,tuna_purse_seines,1,10.42
38.100000,24.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,fishing,2,1.33
39.100000,19.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,fishing,3,4.26
34.200000,13.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,drifting_longlines,1,15.78
38.300000,20.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,purse_seines,1,25.16
36.900000,13.300000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,trawlers,1,19.74
36.600000,27.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,fishing,1,6.00
36.600000,-1.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,2,17.56
35.500000,14.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,trawlers,4,88.32
38.600000,2.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,3,9.70
37.700000,12.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,other_purse_seines,5,33.95
36.100000,25.600000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,fishing,1,2.12
36.200000,33.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",TUR,fishing,1,3.01
43.300000,15.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",HRV,fishing,2,19.96
35.200000,34.400000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",CYP,drifting_longlines,3,24.76
40.300000,24.900000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",GRC,drifting_longlines,1,3.11
34.400000,26.700000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ITA,drifting_longlines,1,4.77
35.800000,14.500000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",MLT,other_purse_seines,1,484.81
39.800000,2.200000,"2016-01-01T00:00:00.000Z,2017-01-01T00:00:00.000Z",ESP,drifting_longlines,4,52.06
