Lat,Lon,Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
38.500000,0.400000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,drifting_longlines,4,27.59
39.800000,16.500000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,trawlers,11,318.96
42.300000,18.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,trawlers,1,1.05
38.900000,2.800000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,drifting_longlines,4,31.34
35.300000,13.600000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",LBY,fishing,2,20.54
43.400000,10.100000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,other_purse_seines,4,36.10
37.400000,10.400000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GBR,trollers,1,1.70
39.000000,25.700000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",TUR,trawlers,1,1.06
39.600000,24.900000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,trawlers,14,170.32
44.400000,12.600000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,trawlers,37,595.93
36.600000,-2.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,drifting_longlines,3,12.38
42.400000,15.700000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,drifting_longlines,1,7.08
37.600000,26.500000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,trawlers,2,2.76
44.500000,13.600000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,trawlers,5,94.01
36.200000,-3.700000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,set_gillnets,1,0.56
39.700000,15.500000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,fishing,1,0.27
42.400000,15.800000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",HRV,set_gillnets,1,4.40
42.300000,15.000000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,pots_and_traps,1,22.97
36.500000,12.900000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,fishing,3,16.10
36.900000,-1.400000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,drifting_longlines,4,44.72
40.200000,24.400000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,other_purse_seines,5,67.83
38.300000,22.600000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,purse_seines,1,1.74
38.400000,25.500000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,drifting_longlines,3,28.71
36.700000,12.700000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,fishing,6,70.91
37.700000,-0.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,drifting_longlines,3,44.33
37.500000,25.400000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,drifting_longlines,1,0.83
38.300000,13.000000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,fishing,1,8.04
35.300000,32.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",CYP,drifting_longlines,2,13.32
38.300000,22.400000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,trawlers,6,298.48
38.500000,-0.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,other_purse_seines,3,1.82
43.400000,14.900000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,fishing,6,14.27
38.700000,12.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,trawlers,2,2.96
39.800000,4.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,trawlers,3,87.41
38.000000,20.500000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,trawlers,4,454.52
44.300000,13.100000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,other_purse_seines,1,1.82
37.900000,27.100000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,trawlers,1,2.53
37.000000,26.800000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,set_longlines,1,0.93
41.500000,41.200000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",TUR,other_purse_seines,2,6.71
39.100000,3.400000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,drifting_longlines,3,26.67
42.500000,14.200000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,dredge_fishing,1,378.35
35.600000,12.900000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",PRT,fishing,1,1.46
40.900000,8.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,trawlers,9,1181.97
44.500000,37.800000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",RUS,trawlers,3,10.18
37.000000,11.900000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,fishing,12,66.33
37.200000,26.600000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",GRC,drifting_longlines,4,24.20
39.500000,7.000000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,trawlers,1,7.98
38.200000,8.500000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ITA,fishing,2,9.98
44.200000,15.200000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",HRV,trawlers,2,2.97
36.200000,35.300000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",TUR,fishing,1,29.69
42.700000,4.200000,"2017-01-01T00:00:00.000Z,2018-01-01T00:00:00.000Z",ESP,trawlers,3,28.62
