Lat,Lon,Time Range,Flag,Geartype,Vessel IDs,Apparent Fishing Hours
43.100000,3.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",,trawlers,1,2.21
36.200000,-3.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,set_gillnets,2,201.90
36.100000,13.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",MLT,drifting_longlines,1,3.20
37.700000,-0.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,drifting_longlines,5,73.91
38.500000,-0.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,other_purse_seines,10,32.57
38.100000,14.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,1,11.10
38.700000,12.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,trawlers,3,40.16
40.500000,1.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",,trawlers,1,2.00
42.000000,31.000000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",TUR,purse_seines,1,22.96
36.100000,13.500000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",TUN,trawlers,3,23.64
35.000000,14.500000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",MLT,fishing,1,4.22
40.900000,8.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,trawlers,7,1306.58
37.000000,11.900000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,5,24.39
37.200000,26.600000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",GRC,drifting_longlines,1,0.32
38.000000,7.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",DMA,fishing,1,5.08
43.700000,9.100000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",MLT,fishing,1,0.50
43.900000,9.500000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,pole_and_line,3,143.46
43.400000,15.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",HRV,other_purse_seines,5,11.14
38.400000,12.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,2,11.03
37.600000,23.900000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",GRC,fixed_gear,3,9.64
33.800000,15.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",MLT,fishing,1,6.09
35.900000,18.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,drifting_longlines,1,17.57
39.800000,10.000000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,1,11.03
37.200000,11.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,5,30.02
36.300000,18.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,2,2.01
36.200000,-2.500000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,fishing,3,83.50
42.000000,8.100000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",FRA,fishing,1,0.81
39.100000,0.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,trawlers,14,462.77
35.200000,17.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,4,17.55
35.000000,17.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,3,30.87
43.000000,15.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",HRV,pots_and_traps,1,2.85
38.600000,20.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,drifting_longlines,1,1.87
35.000000,14.100000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",TUR,purse_seines,1,0.21
40.400000,1.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,drifting_longlines,4,27.29
35.500000,13.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,drifting_longlines,1,0.98
42.400000,7.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",FRA,fishing,1,2.18
34.300000,14.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",MLT,set_longlines,1,3.94
35.200000,14.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ALB,other_purse_seines,2,1.48
37.600000,9.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",CYP,drifting_longlines,1,2.95
45.800000,36.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",RUS,fishing,1,1.62
37.000000,12.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",MLT,fishing,1,2.03
40.200000,1.200000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",,set_gillnets,1,0.50
38.400000,11.900000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,trawlers,5,74.75
38.800000,9.100000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,3,11.77
39.200000,2.200000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,2,14.27
42.700000,16.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",HRV,trawlers,15,234.50
38.500000,0.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,drifting_longlines,3,12.49
40.000000,9.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,1,11.81
39.600000,24.900000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",GRC,trawlers,11,159.79
37.600000,26.500000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",GRC,trawlers,1,0.96
44.500000,13.600000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,trawlers,3,16.52
36.300000,15.100000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",,fixed_gear,1,15.06
38.000000,20.200000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,drifting_longlines,1,1.63
42.700000,7.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",FRA,fishing,2,1.96
38.300000,22.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",GRC,trawlers,3,247.15
37.000000,21.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,drifting_longlines,1,1.48
41.300000,18.500000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,drifting_longlines,1,2.35
39.100000,18.900000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,1,1.07
43.500000,28.600000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",BGR,fishing,8,108.33
36.500000,22.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",GRC,fishing,1,12.14
36.200000,35.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",TUR,fishing,1,2.98
39.400000,7.500000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,trawlers,2,7.15
46.400000,37.000000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",RUS,trawlers,1,8.76
44.400000,33.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",RUS,trawlers,1,0.98
37.600000,-0.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",FRA,trawlers,1,0.31
44.100000,13.600000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,1,0.95
34.900000,13.100000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",MLT,trawlers,1,25.83
39.100000,7.900000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,trawlers,16,770.97
37.500000,25.600000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",TUR,other_purse_seines,1,7.85
36.100000,29.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",LBY,fishing,1,7.36
40.000000,1.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,trawlers,3,41.49
38.700000,12.600000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,2,57.99
39.600000,16.900000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,trawlers,9,337.78
38.300000,12.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",CYP,drifting_longlines,1,5.04
43.500000,3.900000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",,trawlers,1,6.95
37.600000,-0.400000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,fishing,1,0.18
41.000000,2.500000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ESP,drifting_longlines,2,76.50
44.600000,14.600000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",HRV,trawlers,3,42.95
43.100000,17.300000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",HRV,fishing,1,0.18
35.700000,21.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,drifting_longlines,1,2.03
39.700000,15.700000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",ITA,trawlers,2,7.67
39.500000,26.600000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",TUR,fishing,2,39.22
36.700000,13.800000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",MLT,other_purse_seines,1,9.64
36.000000,35.000000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",TUR,other_purse_seines,13,141.47
35.600000,18.200000,"2022-01-01T00:00:00.000Z,2023-01-01T00:00:00.000Z",TUR,fishing,1,0.88
